# 행정동 → R-ONE 임대료 상권 매핑 (Phase 1 Week 1 — 강남구 22개 best-match)
# R-ONE 상권은 행정동과 1:1 이 아니므로 "상권 기준" 메타 표기 필수.
# 신뢰도: high(메인 도로 직결) / medium(인접) / low(인접 상권 외삽)
# Week 2 에서 다른 시군구로 확장. Phase 2 에서 운영자 직접 검수 (UI 라벨링).
adong_jumin_10,행정동,reb_zone,reb_zone_full,confidence,근거
1168051000,신사동,신사역,서울>강남>신사역,high,신사역 도보권
1168052100,논현1동,논현역,서울>강남>논현역,high,논현역 위치
1168053100,논현2동,논현역,서울>강남>논현역,high,논현역 인접
1168054500,압구정동,압구정,서울>강남>압구정,high,압구정역 직결
1168056500,청담동,청담,서울>강남>청담,high,청담역 직결
1168058000,삼성1동,도산대로,서울>강남>도산대로,medium,삼성동 북쪽 도산대로
1168059000,삼성2동,강남대로,서울>강남>강남대로,medium,삼성역 인접
1168060000,대치1동,강남대로,서울>강남>강남대로,medium,강남대로 동측
1168061000,대치2동,학동/강남구청역,서울>강남>학동/강남구청역,medium,학동 인접
1168063000,대치4동,양재말죽거리,서울>강남>양재말죽거리,medium,양재대로 인접
1168064000,역삼1동,테헤란로,서울>강남>테헤란로,high,테헤란로 메인 통과
1168065000,역삼2동,강남대로,서울>강남>강남대로,high,강남대로 동측
1168065500,도곡1동,양재말죽거리,서울>강남>양재말죽거리,medium,양재대로 인접
1168065600,도곡2동,양재역,서울>강남>양재역,medium,양재역 인접
1168066000,개포1동,양재역,서울>강남>양재역,low,개포 외곽
1168067000,개포2동,양재역,서울>강남>양재역,low,개포 외곽
1168067500,개포3동,양재역,서울>강남>양재역,low,개포 외곽
1168069000,개포4동,양재말죽거리,서울>강남>양재말죽거리,low,개포 외곽
1168070000,세곡동,양재말죽거리,서울>강남>양재말죽거리,low,세곡 외곽 (대안 없음)
1168072000,일원본동,양재말죽거리,서울>강남>양재말죽거리,low,일원 외곽
1168073000,일원1동,양재말죽거리,서울>강남>양재말죽거리,low,일원 외곽
1168075000,수서동,양재말죽거리,서울>강남>양재말죽거리,low,수서 외곽
