nts_업종,매핑유형,sbiz_대분류코드,sbiz_대분류명,sbiz_소분류코드(;),sbiz_소분류명(;),비고
LPG 충전소,1:1,G2,소매업,G21402,가스 충전소,수기 검증
pc방,1:1,R1,"예술, 스포츠 및 여가관련 서비스업",R10406,PC방,수기 검증
가구점,1:1,G2,소매업,G21101,가구 소매업,수기 검증
가전제품수리점,1:1,S2,수리 및 개인 서비스업,S20501,가전제품 수리업,수기 검증
가전제품판매점,1:1,G2,소매업,G20803,가전제품 소매업,수기 검증
간이주점,1:N,I2,음식점업,I21101;I21102;I21104,일반 유흥 주점;무도 유흥 주점;요리 주점,1:N 매핑
간판광고물업,1:1,M1,"전문, 과학 및 기술 서비스업",M11401,명함/간판/광고물 제작,수기 검증
감정평가사,1:N,M1,"전문, 과학 및 기술 서비스업",M10499,기타 회계 관련 서비스업,1:N 매핑
건강보조식품가게,1:1,G2,소매업,G20508,건강보조식품 소매업,수기 검증
건어물가게,1:1,G2,소매업,G20504,건어물/젓갈 소매업,수기 검증
건축사,1:1,M1,"전문, 과학 및 기술 서비스업",M10901,건축 설계 및 관련 서비스업,수기 검증
결혼상담소,1:N,S2,수리 및 개인 서비스업,S21105,결혼 상담 서비스업,1:N 매핑
곡물가게,1:1,G2,소매업,G20501,곡물/곡분 소매업,수기 검증
공인노무사,1:1,M1,"전문, 과학 및 기술 서비스업",M10307,공인노무사,수기 검증
공인회계사,1:1,M1,"전문, 과학 및 기술 서비스업",M10401,공인회계사,수기 검증
과일가게,1:1,G2,소매업,G20506,채소/과일 소매업,수기 검증
교습소ㆍ공부방,1:N,P1,교육 서비스업,P10501;P10629,입시·교과학원;그 외 기타 교육기관,1:N 매핑
교습학원,1:1,P1,교육 서비스업,P10501,입시·교과학원,수기 검증
구내식당,1:1,I2,음식점업,I20701,구내식당,수기 검증
기술ㆍ직업훈련학원,1:1,P1,교육 서비스업,P10625,기타 기술/직업 훈련학원,수기 검증
기술사,1:N,M1,"전문, 과학 및 기술 서비스업",M10903;M10904;M10999,건물 및 토목 엔지니어링 서비스업;환경 관련 엔지니어링 서비스업;기타 엔지니어링 서비스업,1:N 매핑
기타외국식음식점,1:N,I2,음식점업,I20401;I20402;I20403;I20499;I20501;I20599;I20601,경양식;파스타/스테이크;패밀리레스토랑;기타 서양식 음식점;베트남식 전문;기타 동남아식 전문;분류 안된 외국식 음식점,1:N 매핑
기타음식점,1:N,I2,음식점업,I20702;I21099,뷔페;그 외 기타 간이 음식점,1:N 매핑
기타일반의원,1:1,Q1,보건의료업,Q10209,기타 의원,수기 검증
꽃가게,1:1,G2,소매업,G21901,꽃집,수기 검증
내과ㆍ소아과의원,1:1,Q1,보건의료업,Q10201,내과/소아과 의원,수기 검증
노래방,1:1,R1,"예술, 스포츠 및 여가관련 서비스업",R10407,노래방,수기 검증
담배ㆍ복권소매업,1:N,G2,소매업,G20701;R10410,담배/전자담배 소매업;복권 발행/판매업,1:N 매핑
당구장,1:1,R1,"예술, 스포츠 및 여가관련 서비스업",R10310,당구장,수기 검증
독서실,1:1,R1,"예술, 스포츠 및 여가관련 서비스업",R10202,독서실/스터디 카페,수기 검증
동물병원,1:1,M1,"전문, 과학 및 기술 서비스업",M11101,동물병원,수기 검증
목욕탕,1:1,S2,수리 및 개인 서비스업,S20801,목욕탕/사우나,수기 검증
문구점,1:1,G2,소매업,G21302,문구/회화용품 소매업,수기 검증
미용실,1:1,S2,수리 및 개인 서비스업,S20701,미용실,수기 검증
법무사,1:1,M1,"전문, 과학 및 기술 서비스업",M10303,법무사,수기 검증
변리사,1:1,M1,"전문, 과학 및 기술 서비스업",M10302,변리사,수기 검증
변호사,1:1,M1,"전문, 과학 및 기술 서비스업",M10301,변호사,수기 검증
부동산중개업,1:1,L1,부동산업,L10203,부동산 중개/대리업,수기 검증
분식점,1:1,I2,음식점업,I21007,김밥/만두/분식,수기 검증
사진촬영업,1:1,M1,"전문, 과학 및 기술 서비스업",M11301,사진촬영업,수기 검증
산부인과의원,1:1,Q1,보건의료업,Q10207,산부인과 의원,수기 검증
생선가게,1:1,G2,소매업,G20505,수산물 소매업,수기 검증
서점,1:1,G2,소매업,G21301,서점,수기 검증
성형외과의원,1:1,Q1,보건의료업,Q10208,성형외과 의원,수기 검증
세무사,1:1,M1,"전문, 과학 및 기술 서비스업",M10402,세무사,수기 검증
세탁소,1:N,S2,수리 및 개인 서비스업,S20901;S20902,세탁소;셀프 빨래방,1:N 매핑
슈퍼마켓,1:1,G2,소매업,G20404,슈퍼마켓,수기 검증
스포츠교육기관,1:N,P1,교육 서비스업,P10601;P10603;P10605,태권도/무술학원;요가/필라테스 학원;레크리에이션 교육기관,1:N 매핑
스포츠시설운영업,1:N,R1,"예술, 스포츠 및 여가관련 서비스업",R10306;R10308;R10309;R10312;R10313;R10314;R10316,종합 스포츠시설;수영장;볼링장;테니스장;탁구장;기타 스포츠시설 운영업;스쿼시/라켓볼장,1:N 매핑
스포츠용품점,1:1,G2,소매업,G21304,운동용품 소매업,수기 검증
시계ㆍ귀금속점,1:1,G2,소매업,G21701,시계/귀금속 소매업,수기 검증
식료품가게,1:1,G2,소매업,G20509,반찬/식료품 소매업,수기 검증
