# 한국부동산원 R-ONE OpenAPI — 임대동향 층별임대료 및 층별효용비율 (중대형상가)
# STATBL_ID=T241873134863890, WRTTIME_IDTFR_ID=202503, 단위: 임대료=천원/㎡, 효용비율=%
# 다운로드: 2026-04-25T05:55:36.086Z
분기,시도_상권,층,임대료_천원_m2,효용비율_pct
2025년 3분기,서울>강남>강남대로,지하1층,35.780849115301,28.3767239738584
2025년 3분기,서울>강남>강남대로,1층,126.092247816427,100
2025년 3분기,서울>강남>강남대로,2층,52.2876725420594,41.4677931812137
2025년 3분기,서울>강남>강남대로,3층,38.2269604295232,30.3166618816855
2025년 3분기,서울>강남>강남대로,4층,30.6554740431052,24.3119419107631
2025년 3분기,서울>강남>강남대로,5층,29.9494105780748,23.7519840408246
2025년 3분기,서울>강남>강남대로,6층이상,34.2221547333955,27.1405699605088
2025년 3분기,서울>강남>교대역,지하1층,14.1673934222123,40.0178859839517
2025년 3분기,서울>강남>교대역,1층,35.4026532733235,100
2025년 3분기,서울>강남>교대역,2층,21.401290152737,60.4510910171336
2025년 3분기,서울>강남>교대역,3층,19.3186079516958,54.5682488895619
2025년 3분기,서울>강남>교대역,4층,17.9945803070995,50.8283381140212
2025년 3분기,서울>강남>교대역,5층,17.8949846850173,50.5470156342814
2025년 3분기,서울>강남>교대역,6층이상,25.4409739924187,71.861772042913
2025년 3분기,서울>강남>남부터미널,지하1층,11.5498697137102,30.9166288386703
2025년 3분기,서울>강남>남부터미널,1층,37.358114864269,100
2025년 3분기,서울>강남>남부터미널,2층,19.4953795271102,52.185126572745
2025년 3분기,서울>강남>남부터미널,3층,17.5738217894683,47.0415112039734
2025년 3분기,서울>강남>남부터미널,4층,15.6698334013632,41.9449253751038
2025년 3분기,서울>강남>남부터미널,5층,15.207386327356,40.707049546285
2025년 3분기,서울>강남>남부터미널,6층이상,14.6637016984112,39.251717469385
2025년 3분기,서울>강남>논현역,지하1층,16.0686193608182,29.6489349977456
2025년 3분기,서울>강남>논현역,1층,54.1962784229518,100
2025년 3분기,서울>강남>논현역,2층,25.5709246809561,47.1820675238965
2025년 3분기,서울>강남>논현역,3층,21.5747748427414,39.8085910518989
2025년 3분기,서울>강남>논현역,4층,18.7573732011409,34.6100760918618
2025년 3분기,서울>강남>논현역,5층,16.7118975520446,30.8358766290625
2025년 3분기,서울>강남>논현역,6층이상,14.5981049025347,26.9356223846406
